# File: Scout_bld_calibration.csv
# Title: Buildings sector calibration from Scout model
# Units: unitless shares
# Comments: Scout output data processed to compute shares of service/technology within state/sector/fuel
# Source:  LBNL team (Aven Satre-Meloy) provided for DECARB project
# Column types: cccccin
# ----------
state,sector,fuel,service,technology,year,share
Arizona,comm,electricity,lighting,incandescent,2015,0.011710446773546762
Arizona,comm,electricity,lighting,fluorescent,2015,0.10626164772152737
Arizona,comm,electricity,lighting,solid state,2015,0.01271475692434572
Arizona,comm,electricity,refrigeration,refrigeration,2015,0.14129360530659937
Arizona,comm,electricity,office,office equipment,2015,0.16336817494393452
Arizona,comm,electricity,other,electricity,2015,0.1350448520365514
Arizona,comm,gas,heating,gas furnace,2015,0.7738608338086417
Arizona,comm,gas,cooling,gas cooling,2015,0.007150911543518999
Arizona,comm,gas,hot water,gas water heater,2015,0.16283178254842334
Arizona,comm,gas,cooking,gas range,2015,0.056156472099415995
Arizona,comm,refined liquids,heating,fuel furnace,2015,0
Arizona,comm,refined liquids,hot water,fuel water heater,2015,1
Arkansas,resid,electricity,heating,electric furnace,2015,0.1550187612180256
Arkansas,resid,electricity,heating,electric heat pump,2015,0.036004916422732514
Arkansas,resid,electricity,cooling,air conditioning,2015,0.34475523268202496
Arkansas,resid,electricity,furnace fans,electricity,2015,0.01248385142974163
Arkansas,resid,electricity,other,electricity,2015,0.20952702541658638
Arkansas,resid,electricity,lighting,fluorescent,2015,0.009398537823371545
Arkansas,resid,electricity,lighting,solid state,2015,7.291095152805881e-4
Arkansas,resid,electricity,lighting,incandescent,2015,0.04213516086100691
Arkansas,resid,electricity,hot water,electric resistance water heater,2015,0.08718828106509051
Arkansas,resid,electricity,refrigerators,refrigerator,2015,0.037515215489842525
Arkansas,resid,electricity,cooking,electric oven,2015,0.006685286869689115
Arkansas,resid,electricity,clothes dryers,clothes dryer,2015,0.029015546979377835
Arkansas,resid,electricity,computers,electricity,2015,0.012809772462202001
Arkansas,resid,electricity,clothes washers,clothes washer,2015,0.00448789847993627
Arkansas,resid,electricity,dishwashers,dishwasher,2015,0.0030132099852777667
Arkansas,resid,electricity,freezers,freezer,2015,0.009232193299813887
Arkansas,resid,gas,heating,gas furnace,2015,0.7760950708250816
Arkansas,resid,gas,hot water,gas water heater,2015,0.14596297580910622
Arkansas,resid,gas,cooking,gas oven,2015,0.015677690307838926
Arkansas,resid,gas,clothes dryers,clothes dryer,2015,0.004378040074137077
Arkansas,resid,gas,other,gas,2015,0.05788622298383626
Arkansas,resid,refined liquids,heating,fuel furnace,2015,0.693232995763138
Arkansas,resid,refined liquids,hot water,fuel water heater,2015,0.1463742298816061
Arkansas,resid,refined liquids,other,refined liquids,2015,0.11674301630799323
Arkansas,resid,refined liquids,cooking,lpg oven,2015,0.04364975804726273
Arkansas,resid,biomass,heating,wood furnace,2015,1
Arkansas,comm,electricity,heating,electric heat pump,2015,0.017815713116561653
Arkansas,comm,electricity,heating,electric furnace,2015,0.01674281821351636
Arkansas,comm,electricity,cooling,air conditioning,2015,0.3637626908649991
Arkansas,comm,electricity,hot water,electric heat pump water heater,2015,1.508306164725477e-4
Arkansas,comm,electricity,hot water,electric resistance water heater,2015,0.006503650963556928
Arkansas,comm,electricity,ventilation,ventilation,2015,0.10154468734330274
Arkansas,comm,electricity,cooking,electric range,2015,0.01926863335271236
Arkansas,comm,electricity,lighting,incandescent,2015,0.011678560761234144
Arkansas,comm,electricity,lighting,fluorescent,2015,0.10121373574134218
Arkansas,comm,electricity,lighting,solid state,2015,0.01095566429032898
Arkansas,comm,electricity,refrigeration,refrigeration,2015,0.12396629245263929
Arkansas,comm,electricity,office,office equipment,2015,0.11109564499010299
Arkansas,comm,electricity,other,electricity,2015,0.11530107729323069
Arkansas,comm,gas,heating,gas furnace,2015,0.7016957165383819
Arkansas,comm,gas,cooling,gas cooling,2015,0.035042100748085156
Arkansas,comm,gas,hot water,gas water heater,2015,0.15399425264813674
Arkansas,comm,gas,cooking,gas range,2015,0.10926793006539617
Arkansas,comm,refined liquids,heating,fuel furnace,2015,0
Arkansas,comm,refined liquids,hot water,fuel water heater,2015,0
California,resid,electricity,heating,electric furnace,2015,0.15830871258855128
California,resid,electricity,heating,electric heat pump,2015,0.061602610758823236
California,resid,electricity,cooling,air conditioning,2015,0.14970714233579402
California,resid,electricity,furnace fans,electricity,2015,0.010262170354683698
California,resid,electricity,other,electricity,2015,0.22489742706379107
California,resid,electricity,lighting,fluorescent,2015,0.019055778450870333
California,resid,electricity,lighting,solid state,2015,0.0014763461967539425
California,resid,electricity,lighting,incandescent,2015,0.08531859181231578
California,resid,electricity,hot water,electric resistance water heater,2015,0.10747509424692835
California,resid,electricity,refrigerators,refrigerator,2015,0.07468224689338289
California,resid,electricity,cooking,electric oven,2015,0.010233652642034465
California,resid,electricity,clothes dryers,clothes dryer,2015,0.03832863196850156
California,resid,electricity,computers,electricity,2015,0.031072625850431797
California,resid,electricity,clothes washers,clothes washer,2015,0.007804156408254357
California,resid,electricity,dishwashers,dishwasher,2015,0.006226767487409871
California,resid,electricity,freezers,freezer,2015,0.013548044941473252
California,resid,gas,heating,gas furnace,2015,0.6598591143826189
California,resid,gas,hot water,gas water heater,2015,0.23906819459081738
California,resid,gas,cooking,gas oven,2015,0.022649475499470783
California,resid,gas,clothes dryers,clothes dryer,2015,0.009599045281200601
California,resid,gas,other,gas,2015,0.06882417024589237
California,resid,refined liquids,heating,fuel furnace,2015,0.3899926678638439
California,resid,refined liquids,hot water,fuel water heater,2015,0.3040889888248165
California,resid,refined liquids,other,refined liquids,2015,0.24373829291901364
California,resid,refined liquids,cooking,lpg oven,2015,0.062180050392326
California,resid,biomass,heating,wood furnace,2015,1
California,comm,electricity,heating,electric heat pump,2015,0.02399460163689797
California,comm,electricity,heating,electric furnace,2015,0.022678034666983406
California,comm,electricity,cooling,air conditioning,2015,0.18126771991902643
California,comm,electricity,hot water,electric heat pump water heater,2015,3.225196404969105e-4
California,comm,electricity,hot water,electric resistance water heater,2015,0.005690985179354574
California,comm,electricity,ventilation,ventilation,2015,0.12492894985299821
California,comm,electricity,cooking,electric range,2015,0.02213956717854943
California,comm,electricity,lighting,incandescent,2015,0.01145962993727828
California,comm,electricity,lighting,fluorescent,2015,0.10787903039090424
California,comm,electricity,lighting,solid state,2015,0.015043479428258587
California,comm,electricity,refrigeration,refrigeration,2015,0.1815207714392549
California,comm,electricity,office,office equipment,2015,0.17133604662844856
California,comm,electricity,other,electricity,2015,0.13173866410154852
California,comm,gas,heating,gas furnace,2015,0.6013035268723567
California,comm,gas,cooling,gas cooling,2015,0.009251582236718459
California,comm,gas,hot water,gas water heater,2015,0.23511835737146672
California,comm,gas,cooking,gas range,2015,0.1543265335194582
California,comm,refined liquids,heating,fuel furnace,2015,0.783382862705759
California,comm,refined liquids,hot water,fuel water heater,2015,0.21661713729424098
Colorado,resid,electricity,heating,electric furnace,2015,0.08063563877753491
Colorado,resid,electricity,heating,electric heat pump,2015,0.029447775102817982
Colorado,resid,electricity,cooling,air conditioning,2015,0.25385484006653247
Colorado,resid,electricity,furnace fans,electricity,2015,0.018951580698916243
Colorado,resid,electricity,other,electricity,2015,0.3147335513614324
Colorado,resid,electricity,lighting,fluorescent,2015,0.014859768818549064
Colorado,resid,electricity,lighting,solid state,2015,0.0011529651282471496
Colorado,resid,electricity,lighting,incandescent,2015,0.06662993207773435
Colorado,resid,electricity,hot water,electric resistance water heater,2015,0.06594763940651993
Colorado,resid,electricity,refrigerators,refrigerator,2015,0.05788112795569875
Colorado,resid,electricity,cooking,electric oven,2015,0.009608475581905808
Colorado,resid,electricity,clothes dryers,clothes dryer,2015,0.0362782284442124
Colorado,resid,electricity,computers,electricity,2015,0.023643921735583637
Colorado,resid,electricity,clothes washers,clothes washer,2015,0.00657357253073625
Colorado,resid,electricity,dishwashers,dishwasher,2015,0.00488119399299104
Colorado,resid,electricity,freezers,freezer,2015,0.014919788320587685
Colorado,resid,gas,heating,gas furnace,2015,0.7615518778449102
Colorado,resid,gas,hot water,gas water heater,2015,0.1851765084900952
Colorado,resid,gas,cooking,gas oven,2015,0.011336480460110291
Colorado,resid,gas,clothes dryers,clothes dryer,2015,0.0045238920261136475
